asset,type,hourly_volume_usd,daily_volume_usd,mid_price,hourly_base_volume,avg_price,num_trades,user_buy_volume,user_sell_volume
0G,perp,0,72581.71321,0.57137,0,0,0,0,0
2Z,perp,0,204095.5816110001,0.08897,0,0,0,0,0
AAVE,perp,1886952.56545,71805717.26640001,102.73,18285.31,103.195,1861,0,0
ACE,perp,1227.8760450000002,1528105.3334650008,0.1257,9706.53,0.1265,37,0,0
ADA,perp,0,3364534.5484199994,0.24956,0,0,0,0,0
AERO,perp,0,4765034.342540002,0.402845,0,0,0,0,0
AI,perp,0,0.0,0.0,0,0,0,0,0
AI16Z,perp,0,0.0,0.0,0,0,0,0,0
AIXBT,perp,0,441366.3605339999,0.026705,0,0,0,0,0
ALGO,perp,2437.697605,413179.8521699999,0.107285,22709.0,0.107345,77,0,0
ALT,perp,2038.2365045,254417.7915480001,0.007164,283423.0,0.0071915,57,0,0
ANIME,perp,0,271005.131326,0.004762,0,0,0,0,0
APE,perp,117539.26717225001,1494694.342288,0.10664,1100735.3,0.1067825,209,0,0
APEX,perp,0,109938.42083,0.28249,0,0,0,0,0
APT,perp,20066.058328749998,868928.2438859997,0.9378,21355.39,0.9396249999999999,98,0,0
AR,perp,3518.524665,918345.8168409999,2.0312,1722.15,2.0431,68,0,0
ARB,perp,21074.660188,4670021.472677999,0.12924,163518.4,0.1288825,189,0,0
ARK,perp,2433.99006,106657.8983200001,0.174245,13932.0,0.174705,52,0,0
ASTER,perp,0,5085490.085150003,0.67333,0,0,0,0,0
ATOM,perp,802.9786899999999,266724.1246109999,1.7849,449.2,1.787575,42,0,0
AVAX,perp,18939.64416175,3827033.0663750013,9.3556,2020.87,9.372024999999999,109,0,0
AVNT,perp,0,2000506.2933500006,0.148855,0,0,0,0,0
AXS,perp,0,259138.91864,1.1246,0,0,0,0,0
AZTEC,perp,0,361109.1065349999,0.022478,0,0,0,0,0
BABY,perp,0,113469.49696,0.015918,0,0,0,0,0
BADGER,perp,0,0.0,0.0,0,0,0,0,0
BANANA,perp,3145.9095,185031.4415899999,3.9061,802.4,3.9206250000000002,27,0,0
BCH,perp,61734.535169999996,1277294.75842,444.265,138.908,444.4275,86,0,0
BERA,perp,0,511343.6507439998,0.40349,0,0,0,0,0
BIGTIME,perp,1321.184774,393746.7064809999,0.013733,95641.0,0.013814000000000002,34,0,0
BIO,perp,0,6411269.803461003,0.032734,0,0,0,0,0
BLAST,perp,202.43027999999998,43356.379861,0.000515,389289.0,0.00052,4,0,0
BLUR,perp,38539.592235,1220927.6196549993,0.025757,1482235.0,0.026001,393,0,0
BLZ,perp,0,0.0,0.0,0,0,0,0,0
BNB,perp,10137.943920000002,5513205.608990001,630.47,16.068,630.94,131,0,0
BNT,perp,0,0.0,0.0,0,0,0,0,0
BOME,perp,24.465819000000003,442576.6765369999,0.000494,49227.0,0.000497,2,0,0
BRETT,perp,909.41956875,113762.709837,0.007191,126225.0,0.00720475,43,0,0
BSV,perp,0,96854.84396,15.823,0,0,0,0,0
BTC,perp,38222828.05893,1443338517.262359,75722.5,504.53684,75758.25,10469,0,0
CAKE,perp,827.0404974999999,802586.9657499999,1.5473,534.1,1.5484749999999998,44,0,0
CANTO,perp,0,0.0,0.0,0,0,0,0,0
CATI,perp,0,0.0,0.0,0,0,0,0,0
CC,perp,0,238875.96188,0.14716,0,0,0,0,0
