asset,type,hourly_volume_usd,daily_volume_usd,mid_price,hourly_base_volume,avg_price,num_trades,user_buy_volume,user_sell_volume
CELO,perp,2349.7858125000002,95045.552646,0.083978,27930.0,0.08413125,24,0,0
CFX,perp,1922.0036465,231660.9564130001,0.060751,31598.0,0.06082675,52,0,0
CHILLGUY,perp,0,313561.5889039998,0.013304,0,0,0,0,0
COMP,perp,138332.50245,2318823.0095600006,25.6905,5352.7,25.843500000000002,491,0,0
CRV,perp,42886.75500999999,4031969.866647,0.22963,186197.0,0.23032999999999998,112,0,0
CYBER,perp,0,0.0,0.0,0,0,0,0,0
DASH,perp,561.34588,276368.21834,34.745,16.16,34.73675,30,0,0
DOGE,perp,96410.45917375,22264403.749467988,0.0949,1014887.0,0.09499625,161,0,0
DOOD,perp,0,83784.059734,0.003241,0,0,0,0,0
DOT,perp,10953.20268,1839765.7339400002,1.27455,8573.6,1.27755,75,0,0
DYDX,perp,16503.321408,1646412.2324080002,0.14003,117746.3,0.14016,97,0,0
DYM,perp,1112.6407215,445853.2780950002,0.01873,58979.1,0.018865,18,0,0
EIGEN,perp,7579.8662525,513058.844694,0.1802,41958.85,0.18065,65,0,0
ENA,perp,244103.72863499998,19336032.249890007,0.120485,2017678.0,0.12098249999999999,730,0,0
ENS,perp,459.596519,98861.159828,6.0007,76.43,6.013299999999999,23,0,0
ETC,perp,357.11510625000005,207220.3675109999,8.5046,41.95,8.512875000000001,16,0,0
ETH,perp,7340393.050569999,462760846.58066994,2351.55,3118.3963,2353.8999999999996,1549,0,0
ETHFI,perp,2493.91515925,484376.7155129999,0.47672,5236.1,0.4762925,47,0,0
FARTCOIN,perp,0,16780460.546290997,0.20414,0,0,0,0,0
FET,perp,0,1500560.6863399998,0.21558,0,0,0,0,0
FIL,perp,31501.566572000003,556548.546661,0.94391,33289.9,0.94628,92,0,0
FOGO,perp,0,236745.8552990001,0.019888,0,0,0,0,0
FRIEND,perp,0,0.0,0.0,0,0,0,0,0
FTM,perp,0,0.0,0.0,0,0,0,0,0
FTT,perp,0,30720.226806,0.30087,0,0,0,0,0
FXS,perp,0,0.0,0.0,0,0,0,0,0
GALA,perp,0,180671.508597,0.003232,0,0,0,0,0
GAS,perp,0,86404.98414,1.70905,0,0,0,0,0
GMT,perp,3355.4293334999998,134847.209133,0.011393,293814.0,0.01142025,62,0,0
GMX,perp,2632.5803135,151965.427201,6.6483,394.09,6.68015,48,0,0
GOAT,perp,0,127504.560781,0.016927,0,0,0,0,0
GRASS,perp,704.25737075,218028.969985,0.33965,2074.9,0.3394175,24,0,0
GRIFFAIN,perp,6492.98251875,702340.524998,0.017124,379025.0,0.01713075,99,0,0
HBAR,perp,1770.281126,341438.6677970001,0.089055,19858.0,0.089147,49,0,0
HEMI,perp,0,712626.5257359998,0.007581,0,0,0,0,0
HMSTR,perp,0,41549.256036,0.000155,0,0,0,0,0
HPOS,perp,0,0.0,0.0,0,0,0,0,0
HYPE,perp,0,157097381.36780003,44.1455,0,0,0,0,0
HYPER,perp,0,101550.519383,0.098972,0,0,0,0,0
ICP,perp,0,367238.99865,2.49385,0,0,0,0,0
ILV,perp,0,0.0,0.0,0,0,0,0,0
IMX,perp,0,103932.08554,0.1624,0,0,0,0,0
INIT,perp,14659.23982375,673242.549799,0.094913,153745.0,0.09534775,118,0,0
INJ,perp,7548.32505,414700.1544000002,3.215,2342.2,3.2227500000000004,107,0,0
IO,perp,3837.62524125,529640.4509350003,0.12122,31517.3,0.1217625,53,0,0
IOTA,perp,857.0395110000001,67629.823625,0.056776,15063.0,0.056897,48,0,0
IP,perp,0,1655746.9379690003,0.54064,0,0,0,0,0
JELLY,perp,0,0.0,0.0,0,0,0,0,0
JTO,perp,4142.864455,670303.5403500004,0.320015,12902.0,0.3211025,71,0,0
JUP,perp,8265.40935,2410977.7275800006,0.17935,46002.0,0.179675,86,0,0
KAITO,perp,0,271316.2233400001,0.44201,0,0,0,0,0
KAS,perp,2523.4175250000003,337029.3623420001,0.03424,73620.0,0.03427625,53,0,0
LAUNCHCOIN,perp,0,0.0,0.0,0,0,0,0,0
LAYER,perp,3488.75905625,173541.772366,0.08427,41275.0,0.08452475,74,0,0
LDO,perp,10202.459305499999,1803027.9458579991,0.39325,25904.1,0.39385499999999996,95,0,0
LINEA,perp,7388.9973899999995,188839.8883819999,0.0034,2167656.0,0.00340875,63,0,0
LINK,perp,25939.341264999995,2941068.975530001,9.30185,2784.7,9.31495,106,0,0
LISTA,perp,0,0.0,0.0,0,0,0,0,0
LIT,perp,208928.631915,8056936.155990004,0.98526,211986.0,0.9855775,1533,0,0
LOOM,perp,0,0.0,0.0,0,0,0,0,0
LTC,perp,40908.397335,2367906.7578500006,55.6875,734.29,55.7115,136,0,0
MANTA,perp,1030.4050852499997,136610.582317,0.06659,15444.3,0.06671749999999999,28,0,0
MATIC,perp,0,0.0,0.0,0,0,0,0,0
MAV,perp,416.931718,132634.3214019999,0.016013,25829.0,0.016142,11,0,0
MAVIA,perp,491.79636,55187.639803,0.03564,13799.0,0.03564,27,0,0
ME,perp,3564.417195,147134.860233,0.11168,31942.8,0.1115875,63,0,0
MEGA,perp,0,1870420.581499999,0.186445,0,0,0,0,0
MELANIA,perp,0,440960.4204459999,0.10851,0,0,0,0,0
MEME,perp,0,107850.350266,0.000545,0,0,0,0,0
MERL,perp,2071.4041865,578354.0196859998,0.035328,58421.0,0.0354565,25,0,0
MET,perp,2654.0647,231656.14157,0.147175,17990.0,0.14753,59,0,0
MEW,perp,10.553515,15473.818056,0.000591,17737.0,0.000595,1,0,0
MINA,perp,0,90196.511886,0.058733,0,0,0,0,0
MKR,perp,0,0.0,0.0,0,0,0,0,0
MNT,perp,11119.042231000001,453596.9972470001,0.66156,16782.7,0.6625300000000001,56,0,0
MON,perp,81484.595382,10144262.781947004,0.032574,2491198.0,0.032709,254,0,0
MOODENG,perp,23545.050743,347030.3694919999,0.053332,441866.0,0.0532855,70,0,0
MORPHO,perp,235773.066625,1947037.2604299996,1.9239,122910.5,1.91825,406,0,0
MOVE,perp,26840.8472715,927177.5107430003,0.020204,1327539.0,0.0202185,172,0,0
MYRO,perp,0,0.0,0.0,0,0,0,0,0
NEAR,perp,0,12528188.330270004,1.3453,0,0,0,0,0
NEIROETH,perp,0,0.0,0.0,0,0,0,0,0
NEO,perp,0,104669.210924,2.8925,0,0,0,0,0
NFTI,perp,0,0.0,0.0,0,0,0,0,0
NIL,perp,1428.9563925,316681.4699029999,0.03805,37362.0,0.03824625,37,0,0
NOT,perp,134.928789,39913.241395,0.000392,342894.0,0.00039349999999999997,2,0,0
NTRN,perp,0,0.0,0.0,0,0,0,0,0
NXPC,perp,0,77733.43805,0.28976,0,0,0,0,0
OGN,perp,0,0.0,0.0,0,0,0,0,0
OM,perp,0,0.0,0.0,0,0,0,0,0
OMNI,perp,0,0.0,0.0,0,0,0,0,0
ONDO,perp,29982.939544999997,1663297.3818799995,0.258945,115637.0,0.259285,153,0,0
OP,perp,4172.73303225,1240543.285394,0.12626,32991.9,0.1264775,74,0,0
ORBS,perp,0,0.0,0.0,0,0,0,0,0
ORDI,perp,90751.66121,6250645.546965003,5.0809,17714.9,5.1229,449,0,0
OX,perp,0,0.0,0.0,0,0,0,0,0
PANDORA,perp,0,0.0,0.0,0,0,0,0,0
PAXG,perp,43358.620675000006,2021324.5387000002,4778.65,9.067,4782.025000000001,187,0,0
PENDLE,perp,0,2950595.9257,1.36855,0,0,0,0,0
PENGU,perp,0,2811847.6914989986,0.007299,0,0,0,0,0
PEOPLE,perp,7218.5095075,225361.1767849999,0.007558,952970.0,0.00757475,74,0,0
PIXEL,perp,0,0.0,0.0,0,0,0,0,0
PNUT,perp,7596.983039999999,1077970.420149,0.05549,136704.0,0.0555725,72,0,0
POL,perp,977.6798245000001,661288.1354059995,0.089684,10886.0,0.08981075000000001,37,0,0
POLYX,perp,0,131942.377735,0.051147,0,0,0,0,0
POPCAT,perp,5743.81206,651097.0526350001,0.061386,93744.0,0.06127125,69,0,0
PROMPT,perp,0,195020.785069,0.034985,0,0,0,0,0
PROVE,perp,0,103304.41152,0.23652,0,0,0,0,0
PUMP,perp,96298.40438925,9844832.275402002,0.001882,51093463.0,0.0018847500000000001,130,0,0
PURR,perp,0,137487.556256,0.081344,0,0,0,0,0
PYTH,perp,0,372946.8576169999,0.045783,0,0,0,0,0
RDNT,perp,0,0.0,0.0,0,0,0,0,0
RENDER,perp,3127.6362650000005,688750.9543199998,1.7851,1749.8,1.7874250000000003,72,0,0
REQ,perp,0,0.0,0.0,0,0,0,0,0
RESOLV,perp,0,241774.630758,0.032812,0,0,0,0,0
REZ,perp,1095.79364,241992.8542410001,0.003815,286108.0,0.00383,42,0,0
RLB,perp,0,0.0,0.0,0,0,0,0,0
RNDR,perp,0,0.0,0.0,0,0,0,0,0
RSR,perp,0,16109.914638,0.001674,0,0,0,0,0
RUNE,perp,1094.78668125,85107.0159559999,0.42414,2577.5,0.4247475,52,0,0
S,perp,0,276233.251885,0.042952,0,0,0,0,0
SAGA,perp,33439.10281699999,577721.9154030002,0.02178,1505587.7,0.022209999999999997,181,0,0
SAND,perp,0,203611.5129049999,0.080416,0,0,0,0,0
SCR,perp,2966.245038,568415.287659,0.04597,63810.8,0.046485,43,0,0
SEI,perp,3510.0784895,361448.7931969998,0.05592,62602.0,0.05606975,68,0,0
SHIA,perp,0,0.0,0.0,0,0,0,0,0
SKR,perp,348.08518125,72179.693157,0.016353,21249.0,0.01638125,17,0,0
SKY,perp,0,259033.137189,0.076291,0,0,0,0,0
SNX,perp,5577.063198749999,224300.974244,0.29817,18643.5,0.2991425,48,0,0
SOL,perp,3430493.9263999993,171701942.86265948,86.2135,39763.7,86.27199999999999,954,0,0
SOPH,perp,0,191985.93612,0.008753,0,0,0,0,0
SPX,perp,0,1351504.7880230006,0.34108,0,0,0,0,0
STABLE,perp,0,179250.204005,0.026471,0,0,0,0,0
STBL,perp,0,210804.666452,0.034805,0,0,0,0,0
STG,perp,0,0.0,0.0,0,0,0,0,0
STRAX,perp,0,0.0,0.0,0,0,0,0,0
STRK,perp,3664.2501555,423610.838052,0.03546,103051.4,0.0355575,68,0,0
STX,perp,2047.598497,221994.423263,0.23136,8845.3,0.23149,52,0,0
SUI,perp,64102.5601275,6531564.104119997,0.95857,66781.5,0.959885,152,0,0
SUPER,perp,0,277045.6828399997,0.118975,0,0,0,0,0
SUSHI,perp,0,155191.8706169999,0.21274,0,0,0,0,0
SYRUP,perp,0,171569.7506300001,0.24113,0,0,0,0,0
TAO,perp,301913.215555,11732352.115180003,245.01,1228.613,245.73499999999999,834,0,0
TIA,perp,116361.4540725,2542688.813503,0.39235,296641.8,0.3922625,240,0,0
TNSR,perp,390.3372465,214085.720442,0.03987,9749.9,0.040035,7,0,0
TON,perp,447130.082735,4611586.138110002,1.31675,338491.3,1.32095,1351,0,0
TRB,perp,736.648,628742.7104100003,18.991,38.72,19.025000000000002,34,0,0
TRUMP,perp,0,3466048.0278999996,2.87935,0,0,0,0,0
TRX,perp,8748.4466825,2262757.014780001,0.329105,26567.0,0.3292975,81,0,0
TST,perp,0,2279854.091267001,0.011646,0,0,0,0,0
TURBO,perp,2732.671593,116851.904082,0.001108,2460204.0,0.00111075,57,0,0
UMA,perp,598.1188625,305495.008274,0.45198,1316.5,0.454325,35,0,0
UNI,perp,11390.558392500001,1189632.20939,3.35815,3387.3,3.362725,72,0,0
UNIBOT,perp,0,0.0,0.0,0,0,0,0,0
USTC,perp,3539.120044,230887.639045,0.005532,635732.0,0.005567,40,0,0
USUAL,perp,0,67542.503145,0.01372,0,0,0,0,0
VINE,perp,0,313443.7706319999,0.019056,0,0,0,0,0
VIRTUAL,perp,4962.7792875000005,1769218.9175629995,0.70658,7015.0,0.7074525,67,0,0
VVV,perp,50396.7077285,3242816.055435,8.6271,5822.86,8.654975,272,0,0
W,perp,1093.3014592499999,170073.648615,0.01234,88151.7,0.0124025,51,0,0
WCT,perp,0,122398.4979390001,0.059143,0,0,0,0,0
WIF,perp,12274.55934,2407504.4913499984,0.20289,60338.0,0.20343,129,0,0
WLD,perp,265637.307089,9675965.643349998,0.26363,1003275.7,0.26477,956,0,0
WLFI,perp,0,2555533.4939099983,0.079174,0,0,0,0,0
XAI,perp,9131.089825000001,536329.479116,0.01108,816186.8,0.0111875,61,0,0
XLM,perp,13787.50354,1506528.1414299996,0.170735,80716.0,0.170815,80,0,0
XMR,perp,0,3640826.6766900006,349.53,0,0,0,0,0
XPL,perp,0,10776330.769189985,0.10956,0,0,0,0,0
XRP,perp,150386.176875,26173300.217199996,1.43675,104775.0,1.435325,359,0,0
YGG,perp,1860.5291455,227266.1048430001,0.040666,45527.0,0.0408665,53,0,0
YZY,perp,0,126257.33043,0.301315,0,0,0,0,0
ZEC,perp,0,33321780.890200004,324.05,0,0,0,0,0
ZEN,perp,1726.1043119999997,246188.613421,5.8755,293.84,5.8743,25,0,0
ZEREBRO,perp,0,301897.4349910001,0.013418,0,0,0,0,0
ZETA,perp,3320.27127075,389759.5902370003,0.05458,60674.7,0.0547225,72,0,0
ZK,perp,4020.3417600000007,212072.8504919999,0.016202,247680.0,0.016232000000000003,80,0,0
ZORA,perp,0,83842.845422,0.014455,0,0,0,0,0
ZRO,perp,566457.3962000001,7728650.133749996,1.79085,314926.0,1.7987000000000002,1369,0,0
kBONK,perp,0,1171675.7082639998,0.006062,0,0,0,0,0
kDOGS,perp,0,0.0,0.0,0,0,0,0,0
kFLOKI,perp,1818.463206,256600.232969,0.030772,58996.0,0.0308235,47,0,0
kLUNC,perp,0,158462.330472,0.042898,0,0,0,0,0
kNEIRO,perp,0,786386.4555459997,0.08852,0,0,0,0,0
kPEPE,perp,239571.54120900002,17264619.934336,0.003791,63057588.0,0.00379925,469,0,0
kSHIB,perp,14331.40112325,713984.3777500001,0.00607,2358399.0,0.00607675,81,0,0
@1,spot,0,30420.63838,12.3455,0,0,0,0,0
@10,spot,0,0.0,0.00013552,0,0,0,0,0
@100,spot,0,0.0,0.0,0,0,0,0,0
@101,spot,0,0.0,0.021046,0,0,0,0,0
@102,spot,0,0.0,0.004107,0,0,0,0,0
@103,spot,0,53.0109048,0.144105,0,0,0,0,0
@104,spot,0,0.0,0.013862,0,0,0,0,0
@105,spot,0,0.0,4.532e-05,0,0,0,0,0
@106,spot,0,99.9763799,0.045554,0,0,0,0,0
@107,spot,0,0.0,0.20142,0,0,0,0,0
@108,spot,0,0.0,0.006816,0,0,0,0,0
@109,spot,0,31916457.279310014,44.172,0,0,0,0,0
@11,spot,0,0.0,0.000359,0,0,0,0,0
@110,spot,0,10.00966341,0.042185,0,0,0,0,0
@111,spot,0,0.0,0.00050449,0,0,0,0,0
@112,spot,0,0.0,0.027978,0,0,0,0,0
@113,spot,0,37.59652336,0.050159,0,0,0,0,0
@114,spot,0,0.0,0.0005554,0,0,0,0,0
@115,spot,0,0.0,0.0001556,0,0,0,0,0
@116,spot,0,0.0,0.0002852,0,0,0,0,0
@117,spot,0,0.0,0.050787,0,0,0,0,0
@118,spot,0,0.0,1.103e-05,0,0,0,0,0
@119,spot,0,0.0,0.0015252,0,0,0,0,0
@12,spot,0,0.0,3.942e-05,0,0,0,0,0
@120,spot,0,0.0,0.014675,0,0,0,0,0
@121,spot,0,0.0,0.01095,0,0,0,0,0
@122,spot,0,0.0,0.024247,0,0,0,0,0
@123,spot,0,0.0,0.003207,0,0,0,0,0
@124,spot,0,0.0,0.004756,0,0,0,0,0
@125,spot,0,0.0,0.04639,0,0,0,0,0
@126,spot,0,36.44550774,0.011879,0,0,0,0,0
@127,spot,0,0.0,0.011006,0,0,0,0,0
@128,spot,0,0.0,0.0951,0,0,0,0,0
@129,spot,0,38.94675029,0.050971,0,0,0,0,0
@13,spot,0,0.0,0.00056393,0,0,0,0,0
@130,spot,0,678.55040609,0.000105,0,0,0,0,0
@131,spot,0,0.0,0.005271,0,0,0,0,0
@132,spot,0,0.0,1.5e-05,0,0,0,0,0
@133,spot,0,0.0,0.048905,0,0,0,0,0
@134,spot,0,176.32382748,0.001,0,0,0,0,0
@135,spot,0,0.0,0.000312,0,0,0,0,0
@136,spot,0,0.0,0.000819,0,0,0,0,0
@137,spot,0,0.0,1.3e-05,0,0,0,0,0
@138,spot,0,52.118123,0.003343,0,0,0,0,0
@139,spot,0,0.0,1.6e-05,0,0,0,0,0
@14,spot,0,1.55648655,7.174e-05,0,0,0,0,0
@140,spot,0,0.0,0.0005891,0,0,0,0,0
@141,spot,0,299.99997359,0.003432,0,0,0,0,0
@142,spot,0,0.0,0.000116,0,0,0,0,0
@143,spot,0,0.0,0.012876,0,0,0,0,0
@144,spot,0,20185607.968849994,75807.5,0,0,0,0,0
@145,spot,0,0.0,0.003078,0,0,0,0,0
@146,spot,0,0.0,0.000314,0,0,0,0,0
@147,spot,0,0.0,2.1e-05,0,0,0,0,0
@148,spot,0,0.0,1.8e-05,0,0,0,0,0
@15,spot,0,0.0,0.000258,0,0,0,0,0
@150,spot,0,0.0,0.00093,0,0,0,0,0
@151,spot,0,0.0,0.000248,0,0,0,0,0
@152,spot,0,0.0,0.0,0,0,0,0,0
@153,spot,0,629032.2245493997,0.999745,0,0,0,0,0
@155,spot,0,10954024.215659998,2354.95,0,0,0,0,0
@156,spot,0,7418.24806,0.95496,0,0,0,0,0
@157,spot,0,179795.6068214999,0.996145,0,0,0,0,0
@158,spot,0,0.0,0.0,0,0,0,0,0
@159,spot,0,0.0,0.00061,0,0,0,0,0
@16,spot,0,0.0,0.057954,0,0,0,0,0
@160,spot,0,1853269.4264509997,86.289,0,0,0,0,0
@161,spot,0,0.0,0.00243,0,0,0,0,0
@162,spot,0,0.0,3.8e-05,0,0,0,0,0
@163,spot,0,0.0,0.532655,0,0,0,0,0
@164,spot,0,109.49700537,0.001285,0,0,0,0,0
@165,spot,0,0.0,0.026775,0,0,0,0,0
@166,spot,0,664262.4008350002,0.20429,0,0,0,0,0
@17,spot,0,0.0,0.00011995,0,0,0,0,0
@170,spot,0,0.0,0.032532,0,0,0,0,0
@171,spot,0,0.0,0.001077,0,0,0,0,0
@172,spot,0,0.0,0.058635,0,0,0,0,0
@173,spot,0,1783949.8578859998,1.0004,0,0,0,0,0
@174,spot,0,0.0,0.0,0,0,0,0,0
@175,spot,0,0.0,0.0,0,0,0,0,0
@176,spot,0,0.0,0.0,0,0,0,0,0
@177,spot,0,0.0,0.0052792,0,0,0,0,0
@178,spot,0,0.0,1.41071,0,0,0,0,0
@179,spot,0,0.0,0.006729,0,0,0,0,0
@18,spot,0,0.0,0.00199354,0,0,0,0,0
@180,spot,0,0.0,120490.0,0,0,0,0,0
@182,spot,0,24539.096651,1.04,0,0,0,0,0
@183,spot,0,0.0,0.0095401,0,0,0,0,0
@184,spot,0,0.0,0.000342,0,0,0,0,0
@185,spot,0,0.0,0.016105,0,0,0,0,0
@187,spot,0,0.0,0.44633,0,0,0,0,0
@188,spot,0,13.369476,0.171545,0,0,0,0,0
@189,spot,0,1168.5905384,0.99709,0,0,0,0,0
@19,spot,0,161.385164,0.011369,0,0,0,0,0
@190,spot,0,0.0,0.0,0,0,0,0,0
@191,spot,0,131715.921,4772.95,0,0,0,0,0
@192,spot,0,0.24342768,0.018811,0,0,0,0,0
@193,spot,0,73042.22496308,0.007308,0,0,0,0,0
@194,spot,0,0.0,0.003488,0,0,0,0,0
@195,spot,0,0.0,0.0,0,0,0,0,0
@196,spot,0,0.0,8.2e-05,0,0,0,0,0
@198,spot,0,1533746.2489732003,0.00188425,0,0,0,0,0
@199,spot,0,0.0,0.0,0,0,0,0,0
@2,spot,0,1.3489478,5.668e-05,0,0,0,0,0
@20,spot,0,9.483e-05,9.497e-05,0,0,0,0,0
@200,spot,0,171.25646076,0.004061,0,0,0,0,0
@201,spot,0,0.0,0.00117,0,0,0,0,0
@202,spot,0,0.0,0.000246,0,0,0,0,0
@203,spot,0,148403.0592229999,0.34144,0,0,0,0,0
@204,spot,0,6497.51029658,6.06e-06,0,0,0,0,0
@205,spot,0,0.0,0.000217,0,0,0,0,0
@206,spot,0,741.28667477,3.6e-05,0,0,0,0,0
@207,spot,0,0.0,0.0,0,0,0,0,0
@208,spot,0,17052.9295196,0.07753,0,0,0,0,0
@209,spot,0,0.0,0.010095,0,0,0,0,0
@21,spot,0,0.0,1.011e-05,0,0,0,0,0
@210,spot,0,0.0,0.0,0,0,0,0,0
@211,spot,0,0.0,1.3e-07,0,0,0,0,0
@212,spot,0,0.0,0.00058,0,0,0,0,0
@213,spot,0,0.0,0.0,0,0,0,0,0
@214,spot,0,0.0,0.054515,0,0,0,0,0
@215,spot,0,1358.65603,1.0224,0,0,0,0,0
@216,spot,0,126226.6299490001,0.120665,0,0,0,0,0
@217,spot,0,50589.38414,44.1515,0,0,0,0,0
@218,spot,0,0.0,0.0,0,0,0,0,0
@219,spot,0,6702.5,4775.85,0,0,0,0,0
@22,spot,0,0.0,0.092865,0,0,0,0,0
@223,spot,0,1909773.1210840004,0.109615,0,0,0,0,0
@224,spot,0,0.0,0.0,0,0,0,0,0
@225,spot,0,0.0,8.745,0,0,0,0,0
@226,spot,0,2142.73186,9.3105,0,0,0,0,0
@227,spot,0,0.0,0.66205,0,0,0,0,0
@228,spot,0,0.0,0.0,0,0,0,0,0
@23,spot,0,34.73054,0.24875,0,0,0,0,0
@230,spot,0,0.0,0.0358,0,0,0,0,0
@231,spot,0,0.0,1.0015,0,0,0,0,0
@232,spot,0,0.0,0.0,0,0,0,0,0
@233,spot,0,0.0,0.00495,0,0,0,0,0
@234,spot,0,0.0,0.0,0,0,0,0,0
@235,spot,0,0.0,0.0,0,0,0,0,0
@236,spot,0,0.0,0.0,0,0,0,0,0
@237,spot,0,5.54762466,0.002304,0,0,0,0,0
@238,spot,0,0.0,0.0,0,0,0,0,0
@24,spot,0,0.0,2.501e-05,0,0,0,0,0
@240,spot,0,5489.89400201,0.008181,0,0,0,0,0
@241,spot,0,11282.17104,9.3445,0,0,0,0,0
@242,spot,0,122189.3939,102.885,0,0,0,0,0
@243,spot,0,149297.4041208599,0.089202,0,0,0,0,0
@244,spot,0,0.0,0.0,0,0,0,0,0
@245,spot,0,4506107.292433401,0.999955,0,0,0,0,0
@246,spot,0,0.0,6e-05,0,0,0,0,0
@247,spot,0,631266.6333699999,44.1725,0,0,0,0,0
@248,spot,0,0.0,0.109565,0,0,0,0,0
@249,spot,0,354401.2226900001,75804.5,0,0,0,0,0
@25,spot,0,0.0,0.000159,0,0,0,0,0
@250,spot,0,402755.05859,2354.6,0,0,0,0,0
@251,spot,0,0.0,0.97646,0,0,0,0,0
@252,spot,0,0.0,4.6e-05,0,0,0,0,0
@253,spot,0,0.0,0.0,0,0,0,0,0
@254,spot,0,0.0,0.0,0,0,0,0,0
@255,spot,0,0.0,0.001551,0,0,0,0,0
@256,spot,0,2840.07510235,0.000675,0,0,0,0,0
@257,spot,0,1095.30534,0.021999,0,0,0,0,0
@258,spot,0,416999.783695,0.032602,0,0,0,0,0
@259,spot,0,0.0,3.73225,0,0,0,0,0
@26,spot,0,0.0,0.00111,0,0,0,0,0
@260,spot,0,0.0,0.000985,0,0,0,0,0
@261,spot,0,0.0,0.002817,0,0,0,0,0
@263,spot,0,15.22902898,0.026167,0,0,0,0,0
@264,spot,0,10142.9233,324.17,0,0,0,0,0
@265,spot,0,0.0,0.01832,0,0,0,0,0
@266,spot,0,191567.54166,44.873,0,0,0,0,0
@267,spot,0,21208.11760372,0.02002,0,0,0,0,0
@268,spot,0,0.0,0.062558,0,0,0,0,0
@269,spot,0,0.0,0.78545,0,0,0,0,0
@27,spot,0,0.0,9.95e-06,0,0,0,0,0
@270,spot,0,109402.8852889,0.121985,0,0,0,0,0
@271,spot,0,2577.89799,44.2005,0,0,0,0,0
@272,spot,0,162275.8214255701,0.034664,0,0,0,0,0
@273,spot,0,0.0,0.0,0,0,0,0,0
@274,spot,0,137.8811959,0.026513,0,0,0,0,0
@275,spot,0,0.0,0.0,0,0,0,0,0
@276,spot,0,2509079.8660999998,350.74,0,0,0,0,0
@277,spot,0,6335.60589638,0.002523,0,0,0,0,0
@278,spot,0,0.0,0.0,0,0,0,0,0
@279,spot,0,225.701,103.04,0,0,0,0,0
@28,spot,0,0.0,0.00015006,0,0,0,0,0
@280,spot,0,0.0,215.1,0,0,0,0,0
@281,spot,0,1763.96614,72.3765,0,0,0,0,0
